parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,True,True,True,,False,0.94,1.0,0.037,claude-sonnet,pilot-0002,missing_interaction_semantics,False,False
True,True,True,True,,False,0.994,1.0,0.009,claude-sonnet,pilot-0003,missing_semantics_role,False,False
True,True,True,True,,False,0.949,1.0,0.071,claude-sonnet,pilot-0005,missing_semantics_role,False,False
True,True,True,True,,False,0.996,1.0,0.005,claude-sonnet,pilot-0006,missing_semantics_role,False,False
True,True,True,True,,True,0.849,3.0,0.231,claude-sonnet,pilot-0008,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.722,19.0,0.161,claude-sonnet,pilot-0009,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.964,1.0,0.03,claude-sonnet,pilot-0010,missing_semantics_role,False,False
True,True,True,True,,False,0.953,1.0,0.026,claude-sonnet,pilot-0011,missing_state_description,False,False
True,True,True,True,,False,0.971,3.0,0.035,claude-sonnet,pilot-0014,missing_semantics_role,False,False
True,True,True,True,,True,0.924,2.0,0.057,claude-sonnet,pilot-0015,clickable_icon_not_iconbutton,False,False
True,True,True,False,onClickLabel_outside_click,False,0.972,1.0,0.021,claude-sonnet,pilot-0016,missing_semantics_role,False,False
True,True,True,True,,True,0.914,16.0,0.074,claude-sonnet,pilot-0017,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.791,8.0,0.086,claude-sonnet,pilot-0018,clickable_icon_not_iconbutton,False,False
True,True,True,False,role_on_component,False,0.971,1.0,0.037,claude-sonnet,pilot-0019,missing_semantics_role,False,False
True,True,True,True,,True,0.831,12.0,0.214,claude-sonnet,pilot-0020,clickable_icon_not_iconbutton,False,False
False,,,,,,,,,claude-sonnet,pilot-0025,color_contrast,True,False
True,True,True,True,,True,0.982,1.0,0.042,claude-sonnet,pilot-0039,color_contrast,False,False
True,True,True,True,,True,0.984,1.0,0.04,claude-sonnet,pilot-0040,color_contrast,False,False
True,True,True,True,,True,0.992,1.0,0.013,claude-sonnet,pilot-0043,decorative_mislabeled,False,False
True,True,True,True,,True,0.997,1.0,0.007,claude-sonnet,pilot-0045,decorative_mislabeled,False,False
True,True,True,True,,False,0.996,1.0,0.006,claude-sonnet,pilot-0049,decorative_mislabeled,False,False
True,True,True,True,,True,0.986,1.0,0.021,claude-sonnet,pilot-0050,decorative_mislabeled,False,False
True,True,True,True,,True,0.984,1.0,0.04,claude-sonnet,pilot-0051,decorative_mislabeled,False,False
True,True,True,True,,True,0.989,1.0,0.016,claude-sonnet,pilot-0052,decorative_mislabeled,False,False
True,True,True,True,,True,0.98,1.0,0.029,claude-sonnet,pilot-0054,decorative_mislabeled,False,False
False,,,,,,,,,claude-sonnet,pilot-0056,decorative_mislabeled,False,False
True,True,True,True,,True,0.973,1.0,0.042,claude-sonnet,pilot-0059,decorative_mislabeled,False,False
True,True,True,True,,True,0.957,1.0,0.083,claude-sonnet,pilot-0060,decorative_mislabeled,False,False
True,True,True,True,,True,0.987,1.0,0.031,claude-sonnet,pilot-0084,missing_content_description,False,False
