detector_category,n,A_TP,A_FP_DETECTOR,A_FP,A_UNSURE,A_precision,B_TP,B_FP_DETECTOR,B_FP,B_UNSURE,B_precision
clickable_icon_not_iconbutton,4,1,3,0,0,0.25,2,2,0,0,0.5
color_contrast,2,1,0,0,1,1.0,1,0,0,1,1.0
decorative_mislabeled,4,1,0,3,0,0.25,1,0,3,0,0.25
error_state_no_semantics,2,0,0,2,0,0.0,2,0,0,0,1.0
missing_content_description,1,0,0,1,0,0.0,0,0,1,0,0.0
missing_heading_semantics,4,2,1,1,0,0.5,2,0,2,0,0.5
missing_merge_descendants,3,0,0,3,0,0.0,0,0,3,0,0.0
missing_semantics_role,3,3,0,0,0,1.0,1,2,0,0,0.333
missing_state_description,2,0,1,1,0,0.0,0,1,1,0,0.0
pointerinput_no_semantics,4,3,0,0,1,1.0,3,0,1,0,0.75
progress_no_semantics,5,4,0,1,0,0.8,0,0,5,0,0.0
text_truncation_scaling,2,1,0,1,0,0.5,2,0,0,0,1.0
textfield_no_label,1,1,0,0,0,1.0,1,0,0,0,1.0
touch_target_size,3,0,0,3,0,0.0,0,0,3,0,0.0
