parsed,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category
True,False,True,,False,0.543,35.0,1.0,phi3,pilot-0015,clickable_icon_not_iconbutton
True,True,True,,False,0.0,217.0,1.0,phi3,pilot-0017,clickable_icon_not_iconbutton
True,True,True,,False,0.473,93.0,1.0,phi3,pilot-0018,clickable_icon_not_iconbutton
True,False,True,,False,0.097,56.0,1.0,phi3,pilot-0020,clickable_icon_not_iconbutton
True,False,True,,False,0.088,325.0,1.0,phi3,pilot-0025,color_contrast
True,True,True,,True,0.559,21.0,0.875,phi3,pilot-0039,color_contrast
True,True,True,,True,0.717,25.0,1.0,phi3,pilot-0040,color_contrast
True,True,True,,False,0.0,25.0,1.0,phi3,pilot-0051,decorative_mislabeled
True,True,True,,False,0.512,64.0,1.0,phi3,pilot-0052,decorative_mislabeled
True,False,True,,False,0.242,339.0,1.0,phi3,pilot-0056,decorative_mislabeled
True,True,True,,False,0.571,12.0,1.0,phi3,pilot-0060,decorative_mislabeled
True,True,True,,False,0.311,32.0,1.0,phi3,pilot-0084,missing_content_description
True,True,True,,False,0.0,293.0,1.0,phi3,pilot-0102,missing_heading_semantics
True,False,True,,False,0.011,394.0,1.0,phi3,pilot-0104,missing_heading_semantics
True,False,True,,False,0.187,45.0,1.0,phi3,pilot-0105,text_truncation_scaling
True,False,True,,False,0.609,50.0,1.0,phi3,pilot-0107,missing_heading_semantics
True,True,True,,False,0.008,206.0,1.0,phi3,pilot-0110,missing_heading_semantics
True,True,True,,False,0.604,19.0,0.594,phi3,pilot-0111,missing_heading_semantics
True,True,True,,False,0.003,267.0,1.0,phi3,pilot-0113,missing_heading_semantics
True,True,True,,False,0.0,317.0,1.0,phi3,pilot-0114,missing_heading_semantics
True,True,True,,False,0.0,179.0,1.0,phi3,pilot-0119,missing_heading_semantics
False,,,,,,,,phi3,pilot-0122,missing_interaction_semantics
True,True,True,,False,0.0,112.0,1.0,phi3,pilot-0123,missing_semantics_role
True,True,True,,False,0.0,131.0,1.0,phi3,pilot-0126,missing_semantics_role
True,True,True,,False,0.0,41.0,1.0,phi3,pilot-0127,missing_semantics_role
True,True,True,,False,0.0,83.0,1.0,phi3,pilot-0128,missing_semantics_role
True,True,True,,False,0.0,289.0,1.0,phi3,pilot-0132,missing_semantics_role
True,True,True,,False,0.0,115.0,1.0,phi3,pilot-0137,missing_interaction_semantics
True,True,True,,False,0.0,221.0,1.0,phi3,pilot-0139,missing_semantics_role
True,True,True,,False,0.0,51.0,1.0,phi3,pilot-0159,missing_merge_descendants
True,True,True,,False,0.0,106.0,1.0,phi3,pilot-0161,missing_semantics_role
