parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,True,True,True,,False,1.0,0.0,0.0,qwen-coder,pilot-0002,missing_interaction_semantics,False,False
True,True,True,True,,False,0.997,1.0,0.009,qwen-coder,pilot-0003,missing_semantics_role,False,False
True,True,True,True,,False,0.861,2.0,0.143,qwen-coder,pilot-0005,missing_semantics_role,False,False
True,True,True,True,,True,0.95,8.0,0.043,qwen-coder,pilot-0006,missing_semantics_role,False,False
True,True,True,True,,True,0.872,2.0,0.154,qwen-coder,pilot-0008,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.979,5.0,0.042,qwen-coder,pilot-0009,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,1.0,0.0,0.0,qwen-coder,pilot-0011,missing_state_description,False,False
True,True,True,True,,True,0.814,12.0,0.129,qwen-coder,pilot-0018,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.66,13.0,0.232,qwen-coder,pilot-0020,clickable_icon_not_iconbutton,False,False
True,False,True,True,,True,0.079,254.0,0.782,qwen-coder,pilot-0025,color_contrast,False,False
True,True,True,True,,True,0.949,1.0,0.042,qwen-coder,pilot-0039,color_contrast,False,False
True,True,True,True,,True,0.676,7.0,0.28,qwen-coder,pilot-0040,color_contrast,False,False
True,True,True,True,,True,0.979,1.0,0.013,qwen-coder,pilot-0043,decorative_mislabeled,False,False
True,True,True,True,,False,0.83,9.0,0.062,qwen-coder,pilot-0045,decorative_mislabeled,False,False
True,True,True,True,,False,0.807,0.0,0.0,qwen-coder,pilot-0050,decorative_mislabeled,False,False
True,True,True,True,,False,0.959,2.0,0.08,qwen-coder,pilot-0051,decorative_mislabeled,False,False
True,False,True,True,,False,0.489,1.0,0.083,qwen-coder,pilot-0060,decorative_mislabeled,False,False
True,True,True,True,,True,0.987,1.0,0.031,qwen-coder,pilot-0084,missing_content_description,False,False
True,True,True,True,,False,0.987,3.0,0.035,qwen-coder,pilot-0099,decorative_mislabeled,False,False
True,True,True,True,,False,0.772,61.0,0.155,qwen-coder,pilot-0104,missing_heading_semantics,False,False
True,True,True,True,,False,0.971,1.0,0.033,qwen-coder,pilot-0106,missing_heading_semantics,False,False
True,True,True,True,,True,0.712,1.0,0.02,qwen-coder,pilot-0107,missing_heading_semantics,False,False
