rater_row_id,verdict,issue_category,confidence,other_issues,notes
r0001,ISSUE,pointerinput_no_semantics,high,,Tap-to-focus (detectTapGestures) and pinch-zoom (transformable) on the viewfinder with no semantics block; the actions are undiscoverable to TalkBack and there is no alternative control.
r0002,ISSUE,textfield_no_label,high,,"Material3 TextField (per imports) with placeholder only and no label; placeholder disappears on input, leaving no accessible name."
r0003,NO_ISSUE,none,medium,missing_heading_semantics,"Anchor Column is the dialog panel wrapping a close button (role=Button) and pager dots; merging descendants here would be harmful. Separately, titleLarge text at ~line 100 lacks heading()."
r0004,ISSUE,missing_semantics_role,medium,touch_target_size,Row is .clickable with no role=Role.Button. Naming is fine (decorative Icon + Text label). Height depends on dimen list_options_icon_size + tiny padding; likely under 48dp but unresolved from source.
r0005,HANDLED,progress_no_semantics,high,,LinearProgressIndicator already has .semantics { stateDescription = percentText }; both Downloading and Extracting branches do this.
r0006,ISSUE,progress_no_semantics,low,,Indeterminate CircularProgressIndicator with no semantics. Sibling Text 'Loading' partially mitigates but is not programmatically associated; reasonable rater could call HANDLED.
r0007,ISSUE,missing_merge_descendants,medium,,"Switch and OptionLabel('show icon') are unassociated siblings in an unmerged Row. Switch announces role/state natively, so stateDescription is not the gap; the label association is."
r0008,ISSUE,missing_heading_semantics,high,,App name in headlineMedium + Bold acts as a visual heading with no semantics { heading() }.
r0009,ISSUE,missing_semantics_role,medium,,"Anchor is .clickable on a ListItem container with no role=Role.Button. The leading Icon is decorative (contentDescription=null) and is not the click target, so this is not a clickable-icon problem."
r0010,ISSUE,missing_semantics_role,medium,touch_target_size,"Clickable Text refresh control with no role. Modifier order (.clickable before .padding) is correct; labelMedium + 8dp padding is roughly 36dp, under 48dp minimum."
r0011,ISSUE,progress_no_semantics,high,,Loading composable: 24dp CircularProgressIndicator with no semantics and no accompanying text; TalkBack gets nothing during the loading state.
r0012,NO_ISSUE,none,high,,"Image with contentDescription 'Non-Vegetarian' conveys dietary meaning; description is appropriate, not decorative. 16dp is non-interactive so touch target does not apply. Hardcoded strings are an i18n concern, not one of the 15."
r0013,ISSUE,pointerinput_no_semantics,medium,touch_target_size,"Custom switch drawn on Canvas and driven by detectTapGestures with no semantics/toggleable in the visible window; also 28x46dp. A semantics modifier could exist on an outer wrapper above the window, hence medium."
r0014,NO_ISSUE,none,medium,,"App logo Image with contentDescription 'Iris Gallery Logo' inside a clickable easter-egg Box; the description is the only accessible name for that tappable area, so it is appropriate rather than decorative noise."
r0015,NO_ISSUE,none,high,,"Canonical correct pattern: Row.toggleable(value, role=Role.Switch) with Switch(onCheckedChange=null). toggleable merges descendants so label+hint form the name and role/state are announced. Nothing missing."
r0016,ISSUE,progress_no_semantics,high,,Bare CircularProgressIndicator() in a Box with no semantics and no accompanying text.
r0017,NO_ISSUE,none,medium,,"28dp Icon with contentDescription=null beside a 'Point Forecast' Text in a drawer header; icon is decorative and the header is not visibly interactive, so neither description nor touch target applies."
r0018,UNSURE,none,low,,"Anchor resolved to an import line; the window contains only the license header and imports. The scrollbar gesture code is not visible, so no judgement possible. Extraction artifact."
r0019,NO_ISSUE,none,high,,"Column holds a title, body, and a TextButton; merging descendants would swallow the button. Correct as written."
r0020,ISSUE,missing_semantics_role,medium,missing_interaction_semantics,App-name Text made clickable (opens welcome dialog) with no role and no onClickLabel; the hidden action is undiscoverable. Same pattern on the version Text at line 74.
r0021,HANDLED,error_state_no_semantics,medium,textfield_no_label,"Material3 OutlinedTextField with isError applies default error semantics and the supportingText sits in the merged subtree, so the error is announced. Separately: placeholder with no label."
r0022,ISSUE,missing_heading_semantics,medium,,TopAppBar title in headlineSmall with no semantics { heading() }; M3 TopAppBar does not add heading semantics itself.
r0023,ISSUE,text_truncation_scaling,low,,"Account label with maxLines=1 + Ellipsis carries unique information and has no alternative access; truncates at large font scale. Common deliberate design, so low confidence."
r0024,NO_ISSUE,none,medium,,TextField label 'Code' is a single short resource string; visual ellipsis is unlikely and does not affect the accessible label TalkBack reads.
r0025,ISSUE,text_truncation_scaling,medium,,"Coordinate Text with maxLines=1 and softWrap=false but no overflow handling; clips silently at large font scale. Status metadata, so impact is moderate."
r0026,ISSUE,decorative_mislabeled,medium,,"Full-screen AsyncImage backdrop with a gradient overlay, described as 'Product Banner'; the string conveys nothing useful and the image is a background. Should be null."
