parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,True,True,True,,False,0.795,13.0,0.481,mistral,pilot-0002,missing_interaction_semantics,False,False
True,False,True,True,,False,0.812,77.0,0.658,mistral,pilot-0003,missing_semantics_role,False,False
True,False,True,True,,False,0.75,9.0,0.643,mistral,pilot-0005,missing_semantics_role,False,False
True,False,True,True,,False,0.158,163.0,0.872,mistral,pilot-0006,missing_semantics_role,False,False
True,False,True,True,,True,0.688,8.0,0.615,mistral,pilot-0008,clickable_icon_not_iconbutton,False,False
True,False,True,True,,True,0.296,59.0,0.5,mistral,pilot-0009,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.822,4.0,0.105,mistral,pilot-0011,missing_state_description,False,False
True,False,True,True,,True,0.638,70.0,0.753,mistral,pilot-0018,clickable_icon_not_iconbutton,False,False
True,False,True,True,,True,0.5,52.0,0.929,mistral,pilot-0020,clickable_icon_not_iconbutton,False,False
True,False,True,True,,True,0.054,235.0,0.723,mistral,pilot-0025,color_contrast,False,False
True,False,True,True,,True,0.782,15.0,0.625,mistral,pilot-0039,color_contrast,False,False
True,False,True,True,,True,0.758,14.0,0.56,mistral,pilot-0040,color_contrast,False,False
True,False,True,False,invented_modifier,False,0.682,55.0,0.696,mistral,pilot-0043,decorative_mislabeled,False,False
True,True,True,True,,False,0.607,61.0,0.421,mistral,pilot-0045,decorative_mislabeled,False,False
True,False,True,True,,False,0.675,27.0,0.562,mistral,pilot-0050,decorative_mislabeled,False,False
True,False,True,True,,False,0.79,14.0,0.56,mistral,pilot-0051,decorative_mislabeled,False,False
True,True,True,True,,False,0.691,6.0,0.5,mistral,pilot-0060,decorative_mislabeled,False,False
True,False,True,True,,True,0.779,26.0,0.812,mistral,pilot-0084,missing_content_description,False,False
True,True,False,True,,False,0.912,33.0,0.384,mistral,pilot-0099,decorative_mislabeled,False,False
True,False,True,True,,False,0.229,334.0,0.848,mistral,pilot-0104,missing_heading_semantics,False,False
True,False,False,True,,False,0.662,22.0,0.733,mistral,pilot-0106,missing_heading_semantics,False,False
True,False,True,False,invented_modifier,False,0.701,39.0,0.78,mistral,pilot-0107,missing_heading_semantics,False,False
True,False,True,False,invented_modifier,False,0.797,23.0,0.821,mistral,pilot-0108,missing_heading_semantics,False,False
True,False,False,True,,False,0.217,179.0,0.565,mistral,pilot-0114,missing_heading_semantics,False,False
True,True,True,True,,False,0.903,2.0,0.133,mistral,pilot-0118,missing_heading_semantics,False,False
True,False,True,True,,False,0.505,40.0,0.755,mistral,pilot-0122,missing_interaction_semantics,False,False
True,False,True,True,,False,0.757,22.0,0.71,mistral,pilot-0130,missing_semantics_role,False,False
True,False,True,True,,False,0.762,24.0,0.585,mistral,pilot-0140,missing_semantics_role,False,False
True,False,False,True,,False,0.485,157.0,0.714,mistral,pilot-0168,missing_interaction_semantics,False,False
True,False,True,True,,False,0.789,27.0,0.519,mistral,pilot-0171,missing_state_description,False,False
True,True,True,True,,False,0.817,19.0,0.339,mistral,pilot-0179,missing_state_description,False,False
True,False,True,True,,False,0.624,68.0,0.716,mistral,pilot-0184,missing_interaction_semantics,False,False
