rater_row_id,item_id,detector_category,A_verdict,B_verdict,A_category,B_category,A_notes,B_notes,adjudicated_verdict,adjudicated_category,adjudicator_notes
r0004,pilot-0010,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,Row is .clickable with no role=Role.Button. Naming is fine (decorative Icon + Text label). Height depends on dimen list_options_icon_size + tiny padding; likely under 48dp but unresolved from source.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0005,pilot-0234,progress_no_semantics,HANDLED,HANDLED,progress_no_semantics,none,LinearProgressIndicator already has .semantics { stateDescription = percentText }; both Downloading and Extracting branches do this.,The Material progress indicator keeps range semantics and adds an explicit percentage state description.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0006,pilot-0227,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Indeterminate CircularProgressIndicator with no semantics. Sibling Text 'Loading' partially mitigates but is not programmatically associated; reasonable rater could call HANDLED.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0007,pilot-0197,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,"Switch and OptionLabel('show icon') are unassociated siblings in an unmerged Row. Switch announces role/state natively, so stateDescription is not the gap; the label association is.",The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0009,pilot-0006,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"Anchor is .clickable on a ListItem container with no role=Role.Button. The leading Icon is decorative (contentDescription=null) and is not the click target, so this is not a clickable-icon problem.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0010,pilot-0176,missing_semantics_role,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,"Clickable Text refresh control with no role. Modifier order (.clickable before .padding) is correct; labelMedium + 8dp padding is roughly 36dp, under 48dp minimum.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0011,pilot-0238,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Loading composable: 24dp CircularProgressIndicator with no semantics and no accompanying text; TalkBack gets nothing during the loading state.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0012,pilot-0058,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,"Image with contentDescription 'Non-Vegetarian' conveys dietary meaning; description is appropriate, not decorative. 16dp is non-interactive so touch target does not apply. Hardcoded strings are an i18n concern, not one of the 15.",The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0014,pilot-0046,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,"App logo Image with contentDescription 'Iris Gallery Logo' inside a clickable easter-egg Box; the description is the only accessible name for that tappable area, so it is appropriate rather than decorative noise.",The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0015,pilot-0183,missing_state_description,NO_ISSUE,HANDLED,none,none,"Canonical correct pattern: Row.toggleable(value, role=Role.Switch) with Switch(onCheckedChange=null). toggleable merges descendants so label+hint form the name and role/state are announced. Nothing missing.",The parent uses toggleable/selectable semantics with the correct role and label; the child control is display-only.,HANDLED,,
r0016,pilot-0222,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Bare CircularProgressIndicator() in a Box with no semantics and no accompanying text.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0018,pilot-0212,pointerinput_no_semantics,UNSURE,NO_ISSUE,none,none,"Anchor resolved to an import line; the window contains only the license header and imports. The scrollbar gesture code is not visible, so no judgement possible. Extraction artifact.","The anchor is only an import, not a gesture attached to a UI element.",NO_ISSUE,,
r0020,pilot-0166,missing_semantics_role,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,App-name Text made clickable (opens welcome dialog) with no role and no onClickLabel; the hidden action is undiscoverable. Same pattern on the version Text at line 74.,The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0021,pilot-0079,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"Material3 OutlinedTextField with isError applies default error semantics and the supportingText sits in the merged subtree, so the error is announced. Separately: placeholder with no label.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0024,pilot-0251,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,TextField label 'Code' is a single short resource string; visual ellipsis is unlikely and does not affect the accessible label TalkBack reads.,A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,NO_ISSUE,,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0026,pilot-0043,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,"Full-screen AsyncImage backdrop with a gradient overlay, described as 'Product Banner'; the string conveys nothing useful and the image is a background. Should be null.",The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0027,pilot-0282,touch_target_size,HANDLED,UNSURE,touch_target_size,,"FloatingActionButton with explicit .size(40.dp). M3 FAB wraps a clickable Surface which applies minimumInteractiveComponentSize, so the touch target is padded to 48dp unless disabled. Separately the FAB's only content is a '+' Text, giving a poor accessible name.",The effective touch bounds depend on Material minimum-target enforcement or an unresolved dimension resource and cannot be confirmed from this window.,HANDLED,,
r0030,pilot-0239,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,CircularProgressIndicator() with no semantics replaces the search button while searching; neither the progress nor the state change is announced.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0031,pilot-0018,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,clickable_icon_not_iconbutton,none,"Icon with .clickable directly (unbounded ripple) instead of IconButton. contentDescription is present, but no role, and 24dp icon + small padding is well under 48dp. Same pattern on the next-arrow Icon.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,clickable_icon_not_iconbutton,R3 named but roleless raw .clickable; confirm <48dp if downgrading
r0032,pilot-0165,missing_semantics_role,ISSUE,NO_ISSUE,missing_semantics_role,none,Clickable GlideImage named by person.name but no role=Role.Button. The fallback branch (Box + Icon with null) is clickable with no accessible name at all.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0033,pilot-0034,color_contrast,UNSURE,UNSURE,color_contrast,,"Axis tick labels in Color(0xFF90A4AE) at 10sp over a chart background not resolvable from source. Fails 4.5:1 on white, passes on dark; cannot decide.","The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0037,pilot-0008,clickable_icon_not_iconbutton,ISSUE,ISSUE,missing_content_description,clickable_icon_not_iconbutton,"32dp clickable Box whose only content is an Icon with null description and no semantics on the Box: the control has no accessible name, no role, and is under 48dp.",The click action is unlabeled or its visible label does not describe the action exposed at this node.,ISSUE,clickable_icon_not_iconbutton,CATEGORY ONLY: both agree on verdict; pick category
r0038,pilot-0091,missing_content_description,NO_ISSUE,HANDLED,none,none,Anchor Icon is decorative (null) inside a clickable Row whose Text children supply the name via merged semantics. Correct. The Row itself lacks role=Role.Button.,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0039,pilot-0047,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,"IconButton wrapping an Icon with contentDescription 'Back'. Correct pattern; hardcoded string is i18n, not one of the 15.",The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0040,pilot-0074,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,TextField with isError and a supportingText slot that switches to error color; Material default error semantics plus merged supportingText announce the error state and message.,The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0041,pilot-0094,missing_content_description,NO_ISSUE,ISSUE,none,none,IconButton with a descriptive contentDescription on the Icon. Correct.,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0042,pilot-0077,error_state_no_semantics,UNSURE,HANDLED,error_state_no_semantics,none,isError is passed into a custom NameSection composable whose TextField is not in the window; cannot tell whether error semantics are applied inside.,The field receives visible supporting/error content (or an error-label parameter) together with its error state.,UNSURE,,
r0044,pilot-0061,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"Material (M2, body1) TextField with isError applies default 'Error' semantics. The AnimatedValidatorMessage is a sibling, not merged, so the specific message is not tied to the field.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0045,pilot-0078,error_state_no_semantics,HANDLED,ISSUE,error_state_no_semantics,error_state_no_semantics,"OutlinedTextField with label and isError; framework announces generic 'Error'. The message text lives in a separate ResultsDisplay composable and is not associated with the field, so mitigation is partial.","The field is marked erroneous, but the detailed error text is outside the field and no association or announcement is visible.",HANDLED,,
r0046,pilot-0064,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,TextField with isError and supportingText carrying the error string; default error semantics plus merged supportingText cover it.,The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0047,pilot-0235,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Overlay CircularProgressIndicator shown while isLoading with no semantics; loading state is silent to TalkBack.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
