model,item_id,pred,gold,correct,conf
claude-sonnet,pilot-0002,True,True,True,95.0
claude-sonnet,pilot-0003,True,True,True,95.0
claude-sonnet,pilot-0005,True,True,True,95.0
claude-sonnet,pilot-0006,True,True,True,95.0
claude-sonnet,pilot-0007,True,False,False,95.0
claude-sonnet,pilot-0008,True,True,True,95.0
claude-sonnet,pilot-0009,True,True,True,100.0
claude-sonnet,pilot-0010,True,True,True,95.0
claude-sonnet,pilot-0011,True,True,True,95.0
claude-sonnet,pilot-0014,True,True,True,90.0
claude-sonnet,pilot-0015,True,True,True,95.0
claude-sonnet,pilot-0016,True,True,True,95.0
claude-sonnet,pilot-0017,True,True,True,95.0
claude-sonnet,pilot-0018,True,True,True,95.0
claude-sonnet,pilot-0019,True,True,True,95.0
claude-sonnet,pilot-0020,True,True,True,100.0
claude-sonnet,pilot-0021,True,False,False,95.0
claude-sonnet,pilot-0022,True,False,False,75.0
claude-sonnet,pilot-0024,True,False,False,95.0
claude-sonnet,pilot-0025,True,True,True,95.0
claude-sonnet,pilot-0027,False,False,True,95.0
claude-sonnet,pilot-0030,True,False,False,95.0
claude-sonnet,pilot-0036,True,False,False,90.0
claude-sonnet,pilot-0038,True,False,False,85.0
claude-sonnet,pilot-0039,True,True,True,95.0
claude-sonnet,pilot-0040,True,True,True,90.0
claude-sonnet,pilot-0041,True,False,False,95.0
claude-sonnet,pilot-0043,True,True,True,85.0
claude-sonnet,pilot-0044,True,False,False,85.0
claude-sonnet,pilot-0045,True,True,True,90.0
claude-sonnet,pilot-0046,True,False,False,95.0
claude-sonnet,pilot-0047,True,False,False,85.0
claude-sonnet,pilot-0048,True,False,False,95.0
claude-sonnet,pilot-0049,True,True,True,95.0
claude-sonnet,pilot-0050,True,True,True,90.0
claude-sonnet,pilot-0051,True,True,True,95.0
claude-sonnet,pilot-0052,True,True,True,85.0
claude-sonnet,pilot-0053,True,False,False,85.0
claude-sonnet,pilot-0054,True,True,True,75.0
claude-sonnet,pilot-0056,True,True,True,95.0
claude-sonnet,pilot-0057,True,False,False,85.0
claude-sonnet,pilot-0058,True,False,False,95.0
claude-sonnet,pilot-0059,True,True,True,85.0
claude-sonnet,pilot-0060,True,True,True,95.0
claude-sonnet,pilot-0061,True,False,False,95.0
claude-sonnet,pilot-0062,False,False,True,90.0
claude-sonnet,pilot-0063,True,False,False,95.0
claude-sonnet,pilot-0064,True,False,False,95.0
claude-sonnet,pilot-0065,False,False,True,95.0
claude-sonnet,pilot-0067,True,False,False,95.0
claude-sonnet,pilot-0068,True,False,False,90.0
claude-sonnet,pilot-0069,True,False,False,95.0
claude-sonnet,pilot-0073,True,False,False,85.0
claude-sonnet,pilot-0074,True,False,False,65.0
claude-sonnet,pilot-0076,True,False,False,95.0
claude-sonnet,pilot-0078,True,False,False,95.0
claude-sonnet,pilot-0079,False,False,True,90.0
claude-sonnet,pilot-0080,True,False,False,95.0
claude-sonnet,pilot-0081,True,False,False,90.0
claude-sonnet,pilot-0082,True,False,False,95.0
claude-sonnet,pilot-0083,True,False,False,95.0
claude-sonnet,pilot-0084,True,True,True,95.0
claude-sonnet,pilot-0085,True,False,False,90.0
claude-sonnet,pilot-0086,True,False,False,95.0
claude-sonnet,pilot-0087,True,False,False,95.0
claude-sonnet,pilot-0088,True,False,False,95.0
claude-sonnet,pilot-0089,True,False,False,95.0
claude-sonnet,pilot-0090,True,False,False,95.0
claude-sonnet,pilot-0091,True,False,False,95.0
claude-sonnet,pilot-0092,True,False,False,95.0
claude-sonnet,pilot-0093,True,False,False,85.0
claude-sonnet,pilot-0094,True,False,False,85.0
claude-sonnet,pilot-0095,True,False,False,90.0
claude-sonnet,pilot-0096,True,False,False,90.0
claude-sonnet,pilot-0097,True,False,False,95.0
claude-sonnet,pilot-0098,True,False,False,85.0
claude-sonnet,pilot-0099,True,True,True,95.0
claude-sonnet,pilot-0100,True,False,False,85.0
claude-sonnet,pilot-0101,True,False,False,85.0
claude-sonnet,pilot-0102,True,True,True,75.0
claude-sonnet,pilot-0103,True,True,True,90.0
claude-sonnet,pilot-0104,True,True,True,95.0
claude-sonnet,pilot-0105,True,True,True,95.0
claude-sonnet,pilot-0106,False,True,False,95.0
claude-sonnet,pilot-0107,True,True,True,85.0
claude-sonnet,pilot-0108,False,True,False,95.0
claude-sonnet,pilot-0109,True,True,True,85.0
claude-sonnet,pilot-0110,True,True,True,95.0
claude-sonnet,pilot-0111,True,True,True,75.0
claude-sonnet,pilot-0112,True,False,False,95.0
claude-sonnet,pilot-0113,True,True,True,95.0
claude-sonnet,pilot-0114,True,True,True,90.0
claude-sonnet,pilot-0115,True,True,True,90.0
claude-sonnet,pilot-0116,True,True,True,95.0
claude-sonnet,pilot-0117,True,False,False,95.0
claude-sonnet,pilot-0118,False,True,False,95.0
claude-sonnet,pilot-0119,True,True,True,90.0
claude-sonnet,pilot-0120,True,False,False,95.0
claude-sonnet,pilot-0121,True,False,False,95.0
claude-sonnet,pilot-0122,True,True,True,90.0
claude-sonnet,pilot-0123,True,True,True,95.0
claude-sonnet,pilot-0124,True,True,True,95.0
claude-sonnet,pilot-0125,True,True,True,90.0
claude-sonnet,pilot-0126,True,True,True,95.0
