parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,True,True,True,,False,0.942,0,0.0,gpt-mini,pilot-0002,missing_interaction_semantics,False,False
True,True,True,True,,False,0.994,1,0.009,gpt-mini,pilot-0003,missing_semantics_role,False,False
True,True,True,True,,False,0.914,1,0.071,gpt-mini,pilot-0005,missing_semantics_role,False,False
True,True,True,True,,False,0.996,1,0.005,gpt-mini,pilot-0006,missing_semantics_role,False,False
True,True,True,True,,True,0.822,4,0.308,gpt-mini,pilot-0008,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.844,10,0.085,gpt-mini,pilot-0009,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.976,1,0.03,gpt-mini,pilot-0010,missing_semantics_role,False,False
True,True,True,True,,True,0.929,1,0.026,gpt-mini,pilot-0011,missing_state_description,False,False
True,True,True,True,,False,0.965,0,0.0,gpt-mini,pilot-0014,missing_semantics_role,False,False
True,True,True,True,,True,0.924,2,0.057,gpt-mini,pilot-0015,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.981,1,0.021,gpt-mini,pilot-0016,missing_semantics_role,False,False
True,True,True,True,,True,0.885,14,0.065,gpt-mini,pilot-0017,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.782,8,0.086,gpt-mini,pilot-0018,clickable_icon_not_iconbutton,False,False
True,True,True,False,role_on_component,False,0.971,1,0.037,gpt-mini,pilot-0019,missing_semantics_role,False,False
True,True,True,True,,True,0.685,12,0.214,gpt-mini,pilot-0020,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.925,1,0.003,gpt-mini,pilot-0025,color_contrast,False,False
True,True,True,True,,True,0.824,1,0.042,gpt-mini,pilot-0039,color_contrast,False,False
True,True,True,True,,True,0.984,1,0.04,gpt-mini,pilot-0040,color_contrast,False,False
True,True,True,True,,True,0.992,1,0.013,gpt-mini,pilot-0043,decorative_mislabeled,False,False
True,True,True,True,,True,0.997,1,0.007,gpt-mini,pilot-0045,decorative_mislabeled,False,False
True,True,True,True,,True,0.998,1,0.006,gpt-mini,pilot-0049,decorative_mislabeled,False,False
True,True,True,True,,True,0.986,1,0.021,gpt-mini,pilot-0050,decorative_mislabeled,False,False
True,True,True,True,,True,0.984,1,0.04,gpt-mini,pilot-0051,decorative_mislabeled,False,False
True,True,True,True,,True,0.989,1,0.016,gpt-mini,pilot-0052,decorative_mislabeled,False,False
True,True,True,True,,True,0.98,1,0.029,gpt-mini,pilot-0054,decorative_mislabeled,False,False
True,True,True,True,,True,0.998,1,0.003,gpt-mini,pilot-0056,decorative_mislabeled,False,False
True,True,True,True,,False,0.947,1,0.042,gpt-mini,pilot-0059,decorative_mislabeled,False,False
True,True,True,True,,True,0.957,1,0.083,gpt-mini,pilot-0060,decorative_mislabeled,False,False
True,True,True,True,,True,0.78,1,0.031,gpt-mini,pilot-0084,missing_content_description,False,False
True,True,True,True,,True,0.921,1,0.012,gpt-mini,pilot-0099,decorative_mislabeled,False,False
True,True,True,True,,True,0.906,0,0.0,gpt-mini,pilot-0102,missing_heading_semantics,False,False
True,True,True,True,,True,0.975,1,0.013,gpt-mini,pilot-0103,missing_heading_semantics,False,False
True,True,True,True,,True,0.997,0,0.0,gpt-mini,pilot-0104,missing_heading_semantics,False,False
True,True,True,False,contentDescription_on_layout,False,0.936,2,0.044,gpt-mini,pilot-0105,text_truncation_scaling,False,False
True,True,True,True,,True,0.958,0,0.0,gpt-mini,pilot-0106,missing_heading_semantics,False,False
True,True,True,True,,True,0.977,1,0.02,gpt-mini,pilot-0107,missing_heading_semantics,False,False
True,True,True,True,,False,0.959,1,0.036,gpt-mini,pilot-0108,missing_heading_semantics,False,False
True,True,True,True,,True,0.984,0,0.0,gpt-mini,pilot-0109,missing_heading_semantics,False,False
True,True,True,True,,True,0.871,0,0.0,gpt-mini,pilot-0110,missing_heading_semantics,False,False
True,True,True,True,,True,0.944,1,0.031,gpt-mini,pilot-0111,missing_heading_semantics,False,False
True,True,True,True,,True,0.992,0,0.0,gpt-mini,pilot-0113,missing_heading_semantics,False,False
True,True,True,True,,True,0.921,1,0.003,gpt-mini,pilot-0114,missing_heading_semantics,False,False
True,True,True,True,,True,0.987,1,0.011,gpt-mini,pilot-0115,missing_heading_semantics,False,False
True,True,True,True,,True,0.96,0,0.0,gpt-mini,pilot-0116,missing_heading_semantics,False,False
True,True,True,True,,False,0.944,1,0.067,gpt-mini,pilot-0118,missing_heading_semantics,False,False
True,True,True,True,,False,0.994,0,0.0,gpt-mini,pilot-0119,missing_heading_semantics,False,False
True,True,True,True,,False,0.987,0,0.0,gpt-mini,pilot-0122,missing_interaction_semantics,False,False
True,True,True,True,,False,0.99,1,0.009,gpt-mini,pilot-0123,missing_semantics_role,False,False
True,True,True,True,,False,0.95,2,0.062,gpt-mini,pilot-0124,missing_semantics_role,False,False
True,True,True,True,,True,0.891,1,0.014,gpt-mini,pilot-0125,missing_semantics_role,False,False
True,True,True,True,,True,0.994,1,0.008,gpt-mini,pilot-0126,missing_semantics_role,False,False
True,True,True,True,,False,0.989,1,0.024,gpt-mini,pilot-0127,missing_semantics_role,False,False
True,True,True,True,,False,0.988,1,0.012,gpt-mini,pilot-0128,missing_semantics_role,False,False
True,True,True,True,,True,0.672,3,0.083,gpt-mini,pilot-0129,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.96,0,0.0,gpt-mini,pilot-0130,missing_semantics_role,False,False
True,True,True,True,,True,0.824,1,0.017,gpt-mini,pilot-0131,missing_semantics_role,False,False
True,True,True,True,,True,0.907,0,0.0,gpt-mini,pilot-0132,missing_semantics_role,False,False
True,True,True,True,,False,0.997,0,0.0,gpt-mini,pilot-0134,missing_interaction_semantics,False,False
True,True,True,True,,False,0.951,1,0.071,gpt-mini,pilot-0135,missing_semantics_role,False,False
True,True,True,True,,False,0.863,0,0.0,gpt-mini,pilot-0137,missing_interaction_semantics,False,False
True,True,True,True,,False,0.992,2,0.009,gpt-mini,pilot-0139,missing_semantics_role,False,False
True,True,True,True,,False,0.973,1,0.024,gpt-mini,pilot-0140,missing_semantics_role,False,False
True,True,True,True,,True,0.965,1,0.022,gpt-mini,pilot-0147,missing_merge_descendants,False,False
True,True,False,True,,True,0.989,0,0.0,gpt-mini,pilot-0159,missing_merge_descendants,False,False
True,True,True,False,role_on_component,False,0.983,2,0.019,gpt-mini,pilot-0161,missing_semantics_role,False,False
True,True,True,True,,False,0.922,3,0.1,gpt-mini,pilot-0163,missing_interaction_semantics,False,False
True,True,True,True,,False,0.824,1,0.026,gpt-mini,pilot-0164,missing_semantics_role,False,False
True,True,True,True,,False,0.95,2,0.044,gpt-mini,pilot-0165,missing_semantics_role,False,False
True,True,True,True,,False,0.964,1,0.019,gpt-mini,pilot-0166,missing_interaction_semantics,False,False
True,True,True,True,,True,0.822,2,0.062,gpt-mini,pilot-0167,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.996,1,0.005,gpt-mini,pilot-0168,missing_interaction_semantics,False,False
True,True,True,True,,False,0.973,4,0.024,gpt-mini,pilot-0170,missing_interaction_semantics,False,False
True,True,True,True,,False,0.959,0,0.0,gpt-mini,pilot-0171,missing_state_description,False,False
