item_id,category,repo,file,composable,evidence,snippet,verdict,notes
pilot-0129,missing_interaction_semantics,dantech0xff__compose-qr-code-scanner,dantech0xff__compose-qr-code-scanner/app/src/main/java/com/creative/qrcodescanner/ui/nav/TopNavBar.kt,TopNavBar,.clickable without onClickLabel," 
@Composable
fun TopNavBar(@StringRes titleResId: Int, backNavClick: () -> Unit) {
    Column(
        modifier = Modifier
            .shadow(MaterialTheme.colorScheme.primary.copy(alpha = 0.5f),
                blurRadius = 12.dp, borderRadius = 0.dp, spread = 0.dp,
                offsetY = 1.dp, offsetX = 0.dp)
            .fillMaxWidth()
            .background(MaterialTheme.colorScheme.primary, shape = RectangleShape)
    ) {
        Spacer(modifier = Modifier.windowInsetsTopHeight(WindowInsets.statusBars))
        Row(
            modifier = Modifier
                .fillMaxWidth()
                .wrapContentHeight(),",,
pilot-0226,progress_no_semantics,cvc953__localplayer,cvc953__localplayer/app/src/main/java/com/cvc953/localplayer/ui/screens/ArtistsScreen.kt,ArtistsScreen,CircularProgressIndicator without progressSemantics,"@Suppress(""ktlint:standard:function-naming"")
@Composable
fun ArtistsScreen(
    artistViewModel: ArtistViewModel,
    playbackViewModel: PlaybackViewModel,
    playerViewModel: PlayerViewModel,
    onArtistClick: (artistName: String) -> Unit,
) {
    // Use the global SongViewModel to fetch all songs so we can build artist thumbnails
    val songViewModel: SongViewModel = viewModel()
    val songs by songViewModel.songs.collectAsState()
    val artists by artistViewModel.artists.collectAsState()

    // Expand and deduplicate artist names using normalization
    val expandedArtists =
        remember(artists) {",,
pilot-0294,touch_target_size,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/SearchBar.kt,SearchBar,size(18.dp) on interactive element,"
@Composable
internal fun SearchBar(
    query: String,
    isSearching: Boolean,
    onQueryChange: (String) -> Unit,
    onFocusChanged: (Boolean) -> Unit,
    modifier: Modifier = Modifier,
) {
    val textColor = MaterialTheme.colorScheme.onSurface
    val mutedColor = MaterialTheme.colorScheme.onSurfaceVariant
    BasicTextField(
        value = query,
        onValueChange = onQueryChange,
        modifier = modifier
            .height(40.dp)",,
pilot-0240,progress_no_semantics,jordond__MaterialKolor,jordond__MaterialKolor/builder/shared/src/commonMain/kotlin/com/materialkolor/builder/ui/home/components/ExportDialog.kt,ExportDialog,CircularProgressIndicator without progressSemantics,"
@Composable
fun ExportDialog(
    onDismiss: () -> Unit,
    modifier: Modifier = Modifier,
) {
    Dialog(
        onDismissRequest = {},
        properties = DialogProperties(
            dismissOnBackPress = false,
            dismissOnClickOutside = false,
        ),
        content = {
            Card(
                modifier = modifier
                    .size(300.dp)",,
pilot-0234,progress_no_semantics,RisorseArtificiali__anti-vocale,RisorseArtificiali__anti-vocale/app/src/main/java/com/antivocale/app/ui/components/ModelVariantCard.kt,DownloadProgressView,CircularProgressIndicator without progressSemantics," */
@Composable
internal fun DownloadProgressView(
    downloadState: DownloadState,
    downloadProgress: Float,
    showExtractingFileSize: Boolean = false
) {
    when (val state = downloadState) {
        is DownloadState.Downloading -> {
            // TASK-384: talkback reads the same percentage the sighted UI shows
            val percentText = ""${(downloadProgress * 100).toInt()}%""
            Column(verticalArrangement = Arrangement.spacedBy(4.dp)) {
                Row(
                    modifier = Modifier.fillMaxWidth(),
                    horizontalArrangement = Arrangement.SpaceBetween
                ) {",,
pilot-0053,decorative_mislabeled,Abhay-cloud__Fixed-Deposit-Tracker,Abhay-cloud__Fixed-Deposit-Tracker/app/src/main/java/dev/abhaycloud/fdtracker/presentation/ui/widget/FixedDepositWidget.kt,FixedDepositGlance,"decorative with description ""refresh""","
@Composable
private fun FixedDepositGlance(investedAmount: Double, maturityAmount: Double) {
    Box(
        modifier = GlanceModifier.fillMaxWidth().background(Color(0xff001F3F)).padding(16.dp),
        contentAlignment = Alignment.Center
    ) {
        Box(modifier = GlanceModifier.fillMaxWidth(), contentAlignment = Alignment.TopEnd) {
            Image(
                provider = ImageProvider(R.drawable.baseline_refresh_24),
                contentDescription = ""refresh"",
                colorFilter = ColorFilter.tint(
                    ColorProvider(
                        day = Color(0xff787878),
                        night = Color(0XFFCDD5EA)
                    )",,
pilot-0236,progress_no_semantics,beradeep__aiyo,beradeep__aiyo/ui/src/main/java/com/beradeep/aiyo/ui/screens/components/ModelSelectionSheet.kt,ModelSelectionSheet,LinearProgressIndicator without progressSemantics,"
@Composable
fun ModelSelectionSheet(
    isVisible: Boolean,
    modifier: Modifier = Modifier,
    isFetchingModels: Boolean,
    fetchModels: () -> Unit,
    models: List<Model>,
    selectedModel: Model,
    onModelSelected: (Model) -> Unit,
    onDismiss: () -> Unit
) {
    ModalBottomSheet(
        isVisible = isVisible,
        onDismissRequest = onDismiss,
        sheetGesturesEnabled = false",,
pilot-0040,color_contrast,eslamfaisal__android-compose-clean-architecture-sample,eslamfaisal__android-compose-clean-architecture-sample/features/recipe-details/src/main/java/com/eslam/bakingapp/features/recipe_details/presentation/RecipeDetailScreen.kt,DifficultyBadge,3 hardcoded Color literals with Text,"
@Composable
private fun DifficultyBadge(
    difficulty: Difficulty,
    modifier: Modifier = Modifier
) {
    val backgroundColor = when (difficulty) {
        Difficulty.EASY -> Color(0xFF4CAF50)
        Difficulty.MEDIUM -> Color(0xFFFFC107)
        Difficulty.HARD -> Color(0xFFFF5722)
    }
    
    Box(
        modifier = modifier
            .background(
                color = backgroundColor,",,
pilot-0113,missing_heading_semantics,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/dailyfocus/DailyFocusScreen.kt,DailyFocusScreen,titleLarge text without heading(),"@OptIn(ExperimentalMaterial3Api::class, ExperimentalFoundationApi::class)
@Composable
fun DailyFocusScreen(
    fileRepository: FileRepository,
    appSettingsRepository: AppSettingsRepository,
    onBack: () -> Unit,
    modifier: Modifier = Modifier,
) {
    // Collect settings once to seed the ViewModel factory
    val settings by appSettingsRepository.settings.collectAsStateWithLifecycle(
        initialValue = AppSettings(),
    )

    val viewModel: DailyFocusViewModel = viewModel(
        key = ""daily_focus_${settings.dailyFocusMode.name}_${settings.enableTasksPluginSupport}"",
        factory = DailyFocusViewModelFactory(",,
pilot-0163,missing_semantics_role,CarGuo__GSYGithubAppCompose,CarGuo__GSYGithubAppCompose/core/ui/src/main/java/com/shuyu/gsygithubappcompose/core/ui/components/AvatarImage.kt,AvatarImage,.clickable without Role,"
@Composable
fun AvatarImage(
    url: String,
    username: String?,
    modifier: Modifier = Modifier,
    size: Dp = 40.dp,
) {
    val navigator = LocalNavigator.current
    SubcomposeAsyncImage(
        model = url,
        contentDescription = ""Avatar"",
        modifier = modifier
            .size(size)
            .clip(CircleShape)
            .clickable {",,
pilot-0013,clickable_icon_not_iconbutton,maximilian-schwaerzler__Do-It,maximilian-schwaerzler__Do-It/app/src/main/java/at/co/schwaerzler/maximilian/doit/ui/navigation/screen/SettingsScreen.kt,SettingsScreenContent,Icon made clickable directly instead of IconButton,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun SettingsScreenContent(
    onNavigateBack: () -> Unit,
    themeMode: AppThemeMode,
    onSetTheme: (AppThemeMode) -> Unit,
    versionName: String?,
    currentLocaleTag: String,
    supportedLocales: List<Pair<String, String>>,
    onSetLanguage: (String) -> Unit,
    notificationLeadTime: NotificationLeadTime,
    onSetNotificationLeadTime: (NotificationLeadTime) -> Unit,
    modifier: Modifier = Modifier,
    useDynamicColors: Boolean,
    onSetUseDynamicColors: (Boolean) -> Unit
) {",,
pilot-0220,pointerinput_no_semantics,DaKlok__BibleLockScreen,DaKlok__BibleLockScreen/app/src/main/java/com/daklok/biblelockscreen/ColorPickerDialog.kt,ColorPickerDialog,detectTapGestures without semantics/Role,"
@Composable
fun ColorPickerDialog(
    initialColor: Color = Color.White,
    strings: AppStrings,
    onDismiss: () -> Unit,
    onColorSelected: (Color) -> Unit
) {
    val (initH, initS, initV) = colorToHsv(initialColor)

    var hueState   by remember { mutableStateOf(initH) }
    var satState   by remember { mutableStateOf(initS) }
    var valueState by remember { mutableStateOf(initV) }

    val currentColor by remember(hueState, satState, valueState) {
        derivedStateOf { hsvToColor(hueState, satState, valueState) }",,
pilot-0209,pointerinput_no_semantics,braniik__slate,braniik__slate/app/src/main/java/com/braniik/slate/ui/drawer/list/HomeList.kt,HorizontalListItem,detectTapGestures without semantics/Role,"
@Composable
private fun HorizontalListItem(
    homeApp: HomeScreenApp,
    info: AppInfo,
    mode: HomeMode,
    dragOffsetPx: Float,
    onTap: (HomeScreenApp) -> Unit,
    onLongPress: (HomeScreenApp) -> Unit,
    onDragStart: () -> Unit,
    onDrag: (Float) -> Unit,
    onDragEnd: () -> Unit,
    modifier: Modifier = Modifier
) {
    val canDrag = mode == HomeMode.EDITING
    val currentOnDragStart by rememberUpdatedState(onDragStart)",,
