rater_row_id,item_id,detector_category,A_verdict,B_verdict,A_category,B_category,A_notes,B_notes,adjudicated_verdict,adjudicated_category,adjudicator_notes
r0005,pilot-0234,progress_no_semantics,HANDLED,HANDLED,progress_no_semantics,none,LinearProgressIndicator already has .semantics { stateDescription = percentText }; both Downloading and Extracting branches do this.,,,,
r0006,pilot-0227,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Indeterminate CircularProgressIndicator with no semantics. Sibling Text 'Loading' partially mitigates but is not programmatically associated; reasonable rater could call HANDLED.,,,,
r0010,pilot-0176,missing_semantics_role,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,"Clickable Text refresh control with no role. Modifier order (.clickable before .padding) is correct; labelMedium + 8dp padding is roughly 36dp, under 48dp minimum.",,,,
r0011,pilot-0238,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Loading composable: 24dp CircularProgressIndicator with no semantics and no accompanying text; TalkBack gets nothing during the loading state.,,,,
r0015,pilot-0183,missing_state_description,NO_ISSUE,HANDLED,none,none,"Canonical correct pattern: Row.toggleable(value, role=Role.Switch) with Switch(onCheckedChange=null). toggleable merges descendants so label+hint form the name and role/state are announced. Nothing missing.",,,,
r0016,pilot-0222,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Bare CircularProgressIndicator() in a Box with no semantics and no accompanying text.,,,,
r0018,pilot-0212,pointerinput_no_semantics,UNSURE,NO_ISSUE,none,none,"Anchor resolved to an import line; the window contains only the license header and imports. The scrollbar gesture code is not visible, so no judgement possible. Extraction artifact.",,,,
r0020,pilot-0166,missing_semantics_role,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,App-name Text made clickable (opens welcome dialog) with no role and no onClickLabel; the hidden action is undiscoverable. Same pattern on the version Text at line 74.,,,,
r0021,pilot-0079,error_state_no_semantics,HANDLED,ISSUE,error_state_no_semantics,error_state_no_semantics,"Material3 OutlinedTextField with isError applies default error semantics and the supportingText sits in the merged subtree, so the error is announced. Separately: placeholder with no label.",,,,
r0024,pilot-0251,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,TextField label 'Code' is a single short resource string; visual ellipsis is unlikely and does not affect the accessible label TalkBack reads.,,,,
r0025,pilot-0105,missing_heading_semantics,ISSUE,NO_ISSUE,text_truncation_scaling,none,"Coordinate Text with maxLines=1 and softWrap=false but no overflow handling; clips silently at large font scale. Status metadata, so impact is moderate.",,,,
r0027,pilot-0282,touch_target_size,HANDLED,HANDLED,touch_target_size,none,"FloatingActionButton with explicit .size(40.dp). M3 FAB wraps a clickable Surface which applies minimumInteractiveComponentSize, so the touch target is padded to 48dp unless disabled. Separately the FAB's only content is a '+' Text, giving a poor accessible name.",,,,
r0030,pilot-0239,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,CircularProgressIndicator() with no semantics replaces the search button while searching; neither the progress nor the state change is announced.,,,,
r0033,pilot-0034,color_contrast,UNSURE,UNSURE,color_contrast,,"Axis tick labels in Color(0xFF90A4AE) at 10sp over a chart background not resolvable from source. Fails 4.5:1 on white, passes on dark; cannot decide.",,,,
r0037,pilot-0008,clickable_icon_not_iconbutton,ISSUE,ISSUE,missing_content_description,clickable_icon_not_iconbutton,"32dp clickable Box whose only content is an Icon with null description and no semantics on the Box: the control has no accessible name, no role, and is under 48dp.",,,,
r0040,pilot-0074,error_state_no_semantics,HANDLED,ISSUE,error_state_no_semantics,error_state_no_semantics,TextField with isError and a supportingText slot that switches to error color; Material default error semantics plus merged supportingText announce the error state and message.,,,,
