parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,True,True,True,,False,0.94,1,0.037,gemini-flash,pilot-0002,missing_interaction_semantics,False,False
True,True,True,True,,False,0.99,2,0.017,gemini-flash,pilot-0003,missing_semantics_role,False,False
True,True,True,True,,False,0.857,2,0.143,gemini-flash,pilot-0005,missing_semantics_role,False,False
True,True,True,True,,False,0.993,2,0.011,gemini-flash,pilot-0006,missing_semantics_role,False,False
True,True,True,True,,True,0.822,4,0.308,gemini-flash,pilot-0008,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.844,10,0.085,gemini-flash,pilot-0009,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.964,1,0.03,gemini-flash,pilot-0010,missing_semantics_role,False,False
True,True,True,True,,True,0.908,2,0.053,gemini-flash,pilot-0011,missing_state_description,False,False
True,True,True,True,,False,0.952,4,0.047,gemini-flash,pilot-0014,missing_semantics_role,False,False
True,True,True,True,,True,0.917,2,0.057,gemini-flash,pilot-0015,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.955,1,0.021,gemini-flash,pilot-0016,missing_semantics_role,False,False
True,True,True,True,,True,0.913,19,0.088,gemini-flash,pilot-0017,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.814,12,0.129,gemini-flash,pilot-0018,clickable_icon_not_iconbutton,False,False
True,True,True,False,role_on_component,False,0.971,1,0.037,gemini-flash,pilot-0019,missing_semantics_role,False,False
True,True,True,True,,True,0.831,12,0.214,gemini-flash,pilot-0020,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.999,1,0.003,gemini-flash,pilot-0025,color_contrast,False,False
True,True,True,True,,True,0.982,1,0.042,gemini-flash,pilot-0039,color_contrast,False,False
True,True,True,True,,True,0.984,1,0.04,gemini-flash,pilot-0040,color_contrast,False,False
True,True,True,True,,True,0.992,1,0.013,gemini-flash,pilot-0043,decorative_mislabeled,False,False
True,True,True,True,,True,0.997,3,0.021,gemini-flash,pilot-0045,decorative_mislabeled,False,False
True,True,True,True,,True,0.998,1,0.006,gemini-flash,pilot-0049,decorative_mislabeled,False,False
True,True,True,True,,True,0.986,1,0.021,gemini-flash,pilot-0050,decorative_mislabeled,False,False
True,True,True,True,,True,0.984,1,0.04,gemini-flash,pilot-0051,decorative_mislabeled,False,False
True,True,True,True,,True,0.989,1,0.016,gemini-flash,pilot-0052,decorative_mislabeled,False,False
True,True,True,True,,True,0.98,1,0.029,gemini-flash,pilot-0054,decorative_mislabeled,False,False
True,True,True,True,,True,0.997,2,0.006,gemini-flash,pilot-0056,decorative_mislabeled,False,False
True,True,True,True,,False,0.964,1,0.042,gemini-flash,pilot-0059,decorative_mislabeled,False,False
True,True,True,True,,True,0.957,1,0.083,gemini-flash,pilot-0060,decorative_mislabeled,False,False
True,True,True,True,,True,0.987,1,0.031,gemini-flash,pilot-0084,missing_content_description,False,False
True,True,True,True,,False,0.997,1,0.012,gemini-flash,pilot-0099,decorative_mislabeled,False,False
True,True,True,True,,True,0.996,2,0.007,gemini-flash,pilot-0102,missing_heading_semantics,False,False
True,True,True,True,,True,0.975,1,0.013,gemini-flash,pilot-0103,missing_heading_semantics,False,False
True,True,True,True,,True,0.994,3,0.008,gemini-flash,pilot-0104,missing_heading_semantics,False,False
True,True,True,True,,False,0.981,0,0.0,gemini-flash,pilot-0105,text_truncation_scaling,False,False
True,True,True,True,,True,0.958,0,0.0,gemini-flash,pilot-0106,missing_heading_semantics,False,False
True,True,True,True,,True,0.965,1,0.02,gemini-flash,pilot-0107,missing_heading_semantics,False,False
True,True,True,True,,True,0.92,1,0.036,gemini-flash,pilot-0108,missing_heading_semantics,False,False
True,True,True,True,,True,0.979,1,0.013,gemini-flash,pilot-0109,missing_heading_semantics,False,False
True,True,True,True,,True,0.992,1,0.005,gemini-flash,pilot-0110,missing_heading_semantics,False,False
True,True,True,True,,True,0.944,1,0.031,gemini-flash,pilot-0111,missing_heading_semantics,False,False
True,True,True,True,,True,0.994,2,0.007,gemini-flash,pilot-0113,missing_heading_semantics,False,False
True,True,True,True,,True,0.977,11,0.035,gemini-flash,pilot-0114,missing_heading_semantics,False,False
True,True,False,True,,True,0.972,1,0.011,gemini-flash,pilot-0115,missing_heading_semantics,False,False
True,True,True,True,,True,0.96,0,0.0,gemini-flash,pilot-0116,missing_heading_semantics,False,False
True,True,True,True,,True,0.923,1,0.067,gemini-flash,pilot-0118,missing_heading_semantics,False,False
True,True,True,True,,True,0.994,0,0.0,gemini-flash,pilot-0119,missing_heading_semantics,False,False
True,True,True,True,,False,0.987,0,0.0,gemini-flash,pilot-0122,missing_interaction_semantics,False,False
True,True,True,True,,False,0.979,1,0.009,gemini-flash,pilot-0123,missing_semantics_role,False,False
True,True,True,True,,False,0.975,1,0.031,gemini-flash,pilot-0124,missing_semantics_role,False,False
True,True,True,True,,False,0.972,1,0.014,gemini-flash,pilot-0125,missing_semantics_role,False,False
True,True,True,True,,True,0.994,1,0.008,gemini-flash,pilot-0126,missing_semantics_role,False,False
True,True,True,True,,False,0.989,1,0.024,gemini-flash,pilot-0127,missing_semantics_role,False,False
True,True,True,True,,False,0.982,2,0.024,gemini-flash,pilot-0128,missing_semantics_role,False,False
True,True,True,True,,True,0.894,6,0.167,gemini-flash,pilot-0129,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.94,1,0.032,gemini-flash,pilot-0130,missing_semantics_role,False,False
True,True,True,True,,False,0.982,2,0.033,gemini-flash,pilot-0131,missing_semantics_role,False,False
True,True,True,True,,False,0.99,4,0.014,gemini-flash,pilot-0132,missing_semantics_role,False,False
True,True,True,False,onClickLabel_outside_click,True,0.993,1,0.005,gemini-flash,pilot-0134,missing_interaction_semantics,False,False
True,True,True,True,,False,0.914,1,0.071,gemini-flash,pilot-0135,missing_semantics_role,False,False
True,True,True,True,,False,0.995,0,0.0,gemini-flash,pilot-0137,missing_interaction_semantics,False,False
True,True,True,True,,False,0.992,6,0.027,gemini-flash,pilot-0139,missing_semantics_role,False,False
True,True,True,True,,False,0.951,1,0.024,gemini-flash,pilot-0140,missing_semantics_role,False,False
True,True,True,True,,True,0.936,1,0.022,gemini-flash,pilot-0147,missing_merge_descendants,False,False
True,True,False,True,,True,0.982,0,0.0,gemini-flash,pilot-0159,missing_merge_descendants,False,False
True,True,True,False,role_on_component,False,0.975,2,0.019,gemini-flash,pilot-0161,missing_semantics_role,False,False
True,True,True,False,onClickLabel_outside_click,True,0.924,1,0.033,gemini-flash,pilot-0163,missing_interaction_semantics,False,False
True,True,True,True,,False,0.944,1,0.026,gemini-flash,pilot-0164,missing_semantics_role,False,False
