parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,False,True,True,,False,0.128,27.0,1.0,gemma3-1b,pilot-0002,missing_interaction_semantics,False,False
True,False,True,True,,False,0.027,117.0,1.0,gemma3-1b,pilot-0003,missing_semantics_role,False,False
True,False,True,True,,False,0.0,14.0,1.0,gemma3-1b,pilot-0005,missing_semantics_role,False,False
True,False,True,True,,False,0.0,187.0,1.0,gemma3-1b,pilot-0006,missing_semantics_role,False,False
True,False,True,True,,False,0.0,13.0,1.0,gemma3-1b,pilot-0008,clickable_icon_not_iconbutton,False,False
True,False,True,True,,False,0.0,118.0,1.0,gemma3-1b,pilot-0009,clickable_icon_not_iconbutton,False,False
True,False,True,True,,False,0.029,38.0,1.0,gemma3-1b,pilot-0011,missing_state_description,False,False
True,False,True,True,,False,0.0,56.0,1.0,gemma3-1b,pilot-0020,clickable_icon_not_iconbutton,False,False
True,False,True,True,,False,0.0,325.0,1.0,gemma3-1b,pilot-0025,color_contrast,False,False
True,False,True,True,,False,0.0,24.0,1.0,gemma3-1b,pilot-0039,color_contrast,False,False
True,False,True,True,,True,0.428,24.0,0.96,gemma3-1b,pilot-0040,color_contrast,False,False
True,False,True,True,,False,0.089,79.0,1.0,gemma3-1b,pilot-0043,decorative_mislabeled,False,False
True,False,False,True,,False,0.052,131.0,0.903,gemma3-1b,pilot-0045,decorative_mislabeled,False,False
True,False,True,True,,False,0.0,48.0,1.0,gemma3-1b,pilot-0050,decorative_mislabeled,False,False
True,False,True,True,,False,0.0,25.0,1.0,gemma3-1b,pilot-0051,decorative_mislabeled,False,False
True,False,True,True,,False,0.0,12.0,1.0,gemma3-1b,pilot-0060,decorative_mislabeled,False,False
True,False,True,True,,False,0.015,32.0,1.0,gemma3-1b,pilot-0084,missing_content_description,False,False
True,False,True,True,,False,0.0,86.0,1.0,gemma3-1b,pilot-0099,decorative_mislabeled,False,False
True,False,False,True,,False,0.027,352.0,0.893,gemma3-1b,pilot-0104,missing_heading_semantics,False,False
True,False,True,True,,False,0.0,30.0,1.0,gemma3-1b,pilot-0106,missing_heading_semantics,False,False
True,False,True,True,,False,0.0,50.0,1.0,gemma3-1b,pilot-0107,missing_heading_semantics,False,False
True,False,False,True,,False,0.348,9.0,0.321,gemma3-1b,pilot-0108,missing_heading_semantics,False,False
False,,,,,,,,,gemma3-1b,pilot-0114,missing_heading_semantics,False,False
True,False,True,True,,False,0.0,15.0,1.0,gemma3-1b,pilot-0118,missing_heading_semantics,False,False
True,False,False,True,,False,0.0,53.0,1.0,gemma3-1b,pilot-0122,missing_interaction_semantics,False,False
True,False,True,True,,False,0.0,31.0,1.0,gemma3-1b,pilot-0130,missing_semantics_role,False,False
True,False,True,True,,False,0.0,41.0,1.0,gemma3-1b,pilot-0140,missing_semantics_role,False,False
True,False,True,True,,False,0.0,30.0,1.0,gemma3-1b,pilot-0163,missing_interaction_semantics,False,False
True,False,True,True,,False,0.006,220.0,1.0,gemma3-1b,pilot-0168,missing_interaction_semantics,False,False
True,False,False,True,,False,0.12,52.0,1.0,gemma3-1b,pilot-0171,missing_state_description,False,False
True,False,True,True,,False,0.08,56.0,1.0,gemma3-1b,pilot-0179,missing_state_description,False,False
True,False,True,True,,False,0.007,95.0,1.0,gemma3-1b,pilot-0184,missing_interaction_semantics,False,False
True,False,True,True,,False,0.0,15.0,1.0,gemma3-1b,pilot-0186,missing_merge_descendants,False,False
True,False,True,True,,False,0.004,138.0,1.0,gemma3-1b,pilot-0189,missing_merge_descendants,False,False
True,False,False,True,,False,0.028,22.0,0.88,gemma3-1b,pilot-0191,missing_state_description,False,False
True,False,True,True,,False,0.0,72.0,1.0,gemma3-1b,pilot-0197,missing_merge_descendants,False,False
True,False,True,True,,False,0.0,124.0,1.0,gemma3-1b,pilot-0198,missing_merge_descendants,False,False
True,False,True,True,,False,0.0,62.0,1.0,gemma3-1b,pilot-0199,missing_merge_descendants,False,False
True,False,False,True,,False,0.058,58.0,0.879,gemma3-1b,pilot-0204,pointerinput_no_semantics,False,False
True,False,False,True,,False,0.086,86.0,0.819,gemma3-1b,pilot-0205,pointerinput_no_semantics,False,False
True,False,False,True,,False,0.007,363.0,1.0,gemma3-1b,pilot-0210,pointerinput_no_semantics,False,False
False,,,,,,,,,gemma3-1b,pilot-0215,pointerinput_no_semantics,True,False
False,,,,,,,,,gemma3-1b,pilot-0216,pointerinput_no_semantics,True,False
True,False,False,True,,False,0.025,84.0,0.923,gemma3-1b,pilot-0245,text_truncation_scaling,False,False
True,False,True,True,,False,0.0,177.0,1.0,gemma3-1b,pilot-0247,text_truncation_scaling,False,False
True,False,True,True,,False,0.049,93.0,0.989,gemma3-1b,pilot-0249,text_truncation_scaling,False,False
True,False,True,True,,False,0.016,109.0,1.0,gemma3-1b,pilot-0254,text_truncation_scaling,False,False
True,False,True,True,,False,0.005,423.0,0.894,gemma3-1b,pilot-0256,text_truncation_scaling,False,False
True,False,True,True,,False,0.0,37.0,1.0,gemma3-1b,pilot-0264,textfield_no_label,False,False
True,False,False,True,,False,0.035,37.0,0.86,gemma3-1b,pilot-0265,textfield_no_label,False,False
True,False,False,True,,False,0.036,230.0,1.0,gemma3-1b,pilot-0274,textfield_no_label,False,False
True,False,True,True,,False,0.005,86.0,1.0,gemma3-1b,pilot-0277,textfield_no_label,False,False
True,False,False,True,,False,0.278,71.0,0.763,gemma3-1b,pilot-0278,textfield_no_label,False,False
True,False,True,True,,False,0.114,36.0,1.0,gemma3-1b,pilot-0281,missing_content_description,False,False
True,False,True,True,,False,0.011,65.0,1.0,gemma3-1b,pilot-0283,missing_interaction_semantics,False,False
True,False,True,True,,False,0.127,56.0,1.0,gemma3-1b,pilot-0289,clickable_icon_not_iconbutton,False,False
True,False,True,True,,False,0.029,22.0,1.0,gemma3-1b,pilot-0291,touch_target_size,False,False
True,False,False,True,,False,0.026,85.0,1.0,gemma3-1b,pilot-0293,clickable_icon_not_iconbutton,False,False
True,False,True,True,,False,0.109,33.0,1.0,gemma3-1b,pilot-0299,missing_content_description,False,False
